area,name,lat,long,status,note
鎌倉市,26-5,35.3342493,139.5486197,2,山ノ内180番地10:山ノ内ポケットパーク
鎌倉市,26-6,35.3370466,139.5434981,1,山ノ内1329番地:東瓜ガ谷子どもの遊び場フェンス
鎌倉市,26-7,35.3384845,139.5425134,2,山ノ内762番地:石井宅駐車場フェンス
鎌倉市,27-1,35.3425789,139.5335681,4,台五丁目4番:台くすのき公園柵
鎌倉市,27-2,35.339764,139.5354248,5,台1591番地:根本宅塀
鎌倉市,27-3,35.3412072,139.5351592,6,台五丁目9番:台五丁目公園入口脇柵
鎌倉市,27-4,35.3427866,139.5337272,0,台五丁目550番62:台すすき公園
鎌倉市,27-5,35.3412274,139.5359274,1,台五丁目9番59号:文化財課分室フェンス南側
鎌倉市,27-6,35.3410721,139.5397339,2,台1882番地5:台やまもみじ公園柵
鎌倉市,27-7,35.3412274,139.5359274,4,台五丁目9番59号:文化財課分室フェンス北側
鎌倉市,27-8,35.3397891,139.5348393,5,台1656番地:さくら青少年広場前フェンス
鎌倉市,28-1,35.3472857,139.5368673,6,大船四丁目1番25号:大船中学校フェンス
鎌倉市,28-2,35.3437004,139.5370686,0,小袋谷二丁目13番:成福寺前JRフェンス
鎌倉市,28-3,35.34663,139.5383217,1,大船四丁目4番:栄町公園植込み
鎌倉市,28-4,35.3481259,139.5391372,2,大船五丁目2番:大船ライラック公園フェンス
鎌倉市,28-5,35.3455445,139.5368299,1,大船四丁目16番:大船中学校プール裏転落防止柵
鎌倉市,28-6,35.3439777,139.5350796,2,小袋谷二丁目10番:小袋谷二丁目10番JRフェンス
鎌倉市,28-7,35.3482812,139.5425584,4,大船五丁目15番:大船ほたる公園石垣
鎌倉市,28-8,35.3457113,139.5388289,5,大船四丁目9番6号:大船4丁目9番転落防止柵
鎌倉市,29-1,35.3435731,139.5414843,6,大船2135番地4:小坂小学校校門横フェンス
鎌倉市,29-2,35.3433105,139.5464573,0,高野2番地2:大船高校入口転落防止柵
鎌倉市,29-3,35.3424382,139.5423157,1,台1980番地3:高野台自治会館脇転落防止柵
鎌倉市,29-4,35.3433105,139.5464573,2,高野10番地:天ケ谷戸遊水池フェンス
鎌倉市,29-5,35.3512705,139.5436922,4,大船1780番地9:やとのまえぞう公園石垣
鎌倉市,29-6,35.3508756,139.5449722,5,大船1806番地128:やとのまえ公園北側
鎌倉市,29-7,35.3493409,139.546142,6,大船1820番地82:やとのまえ公園南側
鎌倉市,30-1,35.3453365,139.5527438,0,今泉二丁目14番:今泉りす公園フェンス
鎌倉市,30-2,35.3444073,139.5517292,1,今泉二丁目13番1号:今泉小学校正門脇フェンス
鎌倉市,30-3,35.3429629,139.5505952,2,今泉二丁目30番:今泉公園石垣
鎌倉市,30-4,35.3454441,139.5571209,1,今泉三丁目9番:白山神社前交差点横法面
鎌倉市,30-5,35.3439923,139.5619263,2,今泉三丁目21番23号:今泉さわやかセンターフェンス
鎌倉市,30-6,35.3428289,139.5525846,4,今泉台一丁目2番:柳谷戸つばめ公園脇
鎌倉市,30-7,35.3467062,139.5519425,5,今泉二丁目4番25号:大船消防署今泉出張所塀
鎌倉市,31-1,35.3402944,139.5587922,6,今泉台三丁目18番:吉ガ沢かえで公園フェンス
鎌倉市,31-2,35.3417066,139.5571209,0,今泉台二丁目6番:地蔵前バス停前転落防止柵
鎌倉市,31-3,35.3386805,139.5579963,1,今泉台四丁目6番:吉ガ沢公園西側フェンス
鎌倉市,31-4,35.3391884,139.5644433,2,今泉台六丁目1番:滝ノ入北公園石垣
鎌倉市,31-5,35.336544,139.5634085,4,今泉台五丁目12番:半僧坊下バス停脇
鎌倉市,31-6,35.3376163,139.5664332,5,今泉台六丁目19番:遊歩道石垣
鎌倉市,31-7,35.3397923,139.565677,6,今泉台七丁目17番:滝ノ入うさぎ公園石垣
鎌倉市,32-1,35.35174,139.5474944,0,岩瀬663番地:岩瀬あゆ公園前転落防止柵
鎌倉市,32-2,35.3538509,139.5444613,1,岩瀬574番地:砂押橋バス停前転落防止柵
鎌倉市,32-3,35.35334,139.5470939,2,岩瀬856番地2:レーベンハイム前転落防止柵
鎌倉市,32-4,35.348853,139.5504536,1,岩瀬820番地:秋元宅塀
鎌倉市,32-5,35.3525136,139.5490322,2,岩瀬1526番地:岩瀬保育園フェンス
鎌倉市,32-6,35.35334,139.5470939,4,岩瀬630番地1:岩瀬下関防災公園フェンス
鎌倉市,32-7,35.3545383,139.5456667,5,岩瀬549番地:シルバー人材センター駐車場フェンス
鎌倉市,33-1,35.3541165,139.5415241,6,岩瀬一丁目12番:岩瀬住宅前交差点転落防止柵
鎌倉市,33-2,35.3541757,139.5426977,0,岩瀬一丁目16番18号:丸岡宅塀
鎌倉市,33-3,35.3558203,139.5430372,1,岩瀬一丁目23番19号:ウエリスオリーブ鎌倉岩瀬フェンス
鎌倉市,33-4,35.35334,139.5470939,2,岩瀬ー丁目6番:いわせ第二児童遊園フェンス
鎌倉市,33-5,35.35334,139.5470939,4,岩瀬ー丁目8番:岩瀬げんごろう公園フェンス
鎌倉市,33-6,35.355038,139.5373868,5,岩瀬一丁目1番:岩瀬めだか公園柵
鎌倉市,33-7,35.352884,139.5388189,6,大船六丁目1番:大船りんご公園塀
鎌倉市,33-8,35.3566281,139.5390193,0,岩瀬一丁目3番1号:岩瀬一丁目公園北側植え込み
鎌倉市,34-1,35.3499224,139.5334663,1,大船二丁目1番26号:大船行政センター植込み
鎌倉市,34-2,35.3492585,139.5381875,2,大船五丁目1番1号:三菱電機情報技術総合研究所塀
鎌倉市,34-3,35.3520009,139.5350503,1,大船二丁目7番8号:教育支援教室「ひだまり」フェンス
鎌倉市,34-4,35.3515854,139.5343731,2,大船二丁目8番1号:大船小学校東側フェンス
鎌倉市,34-5,35.3489775,139.5330681,4,大船三丁目5番10号:大船消防署フェンス
鎌倉市,34-6,35.354088,139.535577,5,大船二丁目19番:砂押川転落防止柵
鎌倉市,34-7,35.3515854,139.5343731,6,大船二丁目8番1号:大船小学校南側フェンス
鎌倉市,35-1,35.3477179,139.5284428,0,台二丁目16番28号:第一パック大船工場フェンス
鎌倉市,35-2,35.346808,139.5262308,1,台二丁目13番1号:デンカフェンス
鎌倉市,35-3,35.3452214,139.523437,2,山崎452番地2:山崎浄化センターフェンス
鎌倉市,35-4,35.3476351,139.5286359,4,台二丁目245-13地内:鎌倉武道館東側交差点付近引込線フェンス
鎌倉市,35-5,35.343348,139.5270454,5,山崎1140番地:華屋与兵衛前転落防止柵
鎌倉市,35-6,35.3467364,139.5315793,6,台三丁目1番:台いちご公園フェンス
鎌倉市,35-7,35.344091,139.5224846,0,山崎291番地:三菱電機鎌倉製作所フェンス
鎌倉市,36-1,35.3479593,139.5188027,1,岡本1100番地:玉縄中学校北側フェンス
鎌倉市,36-2,35.3509231,139.5102714,2,植木484番地5:相模障ふき公園フェンス
鎌倉市,36-3,35.3551743,139.5163919,1,植木19番地:植木谷戸公園フェンス
鎌倉市,36-4,35.3487787,139.5209154,2,岡本1018番地:フラワーセンターフェンス
鎌倉市,36-5,35.3487787,139.5209154,4,岡本1018番地:フラワーセンター第二駐車場フェンス
鎌倉市,36-6,35.3479593,139.5188027,5,岡本1100番地:玉縄中学校正門横フェンス
鎌倉市,36-7,35.3525372,139.516546,6,植木135番地1:玉縄幼稚園・籠賓寺駐車場フェンス
鎌倉市,37-1,35.3484555,139.5144477,0,植木598番地5:相模陣あひる公園脇転落防止柵
鎌倉市,37-2,35.344584,139.518405,1,岡本1324番地:市営岡本住宅フェンス
鎌倉市,37-3,35.3443599,139.516541,2,岡本1500番地:岡本外耕地公園
鎌倉市,37-4,35.3457781,139.5105447,4,植木837番地1前:アーバンハイツ鎌倉植木前転落防止柵
鎌倉市,37-5,35.3469168,139.5144571,5,植木676番地1:グリーンズ湘南・鎌倉塀
鎌倉市,37-6,35.3443599,139.516541,6,岡本1500番地29:岡本むくげ公園柵
鎌倉市,37-7,35.3443599,139.516541,0,岡本1500番地30:岡本けやき公園柵
鎌倉市,38-1,35.3511614,139.5229828,1,玉縄一丁目860番地:玉縄小学校フェンス
鎌倉市,38-2,35.3518595,139.5296701,2,台一丁目2番:ペデストリアンデッキ
鎌倉市,38-3,35.3512007,139.5293135,1,台一丁目2番25号:台調整池管理棟植込み
鎌倉市,38-4,35.3568864,139.5216362,2,玉縄ー丁目4番地:たまなわ児童遊園フェンス
鎌倉市,38-5,35.3568864,139.5216362,4,玉縄ー丁目860番地:玉縄小学校体育館横フェンス
鎌倉市,38-6,35.3498347,139.5220771,5,玉縄一丁目14番地6:やまかストアー玉縄店フェンス
鎌倉市,38-7,35.3494947,139.5233231,6,岡本二丁目16番3号:玉縄行政センター前
鎌倉市,39-1,35.3556821,139.5286359,0,岡本一丁目120番地65:戸部みつばち公園フェンス
鎌倉市,39-2,35.3579148,139.5205395,1,玉縄二丁目13番地1:城山児童遊園フェンス
